"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","당해연도 졸업자-남","당해연도 졸업자-여","당해연도 졸업자-합계","당해연도 졸업자-비율","이전연도 졸업자-남","이전연도 졸업자-여","이전연도 졸업자-합계","이전연도 졸업자-비율","검정고시 및 교육과정 이수자-남","검정고시 및 교육과정 이수자-여","검정고시 및 교육과정 이수자-합계","검정고시 및 교육과정 이수자-비율","기 타-남","기 타-여","기 타-합계","기 타-비율","합계-남","합계-여","합계"
"경상북도교육청","경상북도교육청","경상북도 영천시","S150000906","영동고등학교","04","사립","N","","132","0","132","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","132","0","132"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000907","예일메디텍고등학교","04","사립","N","","36","38","74","97.4","2","0","2","2.6","0","0","0","0.0","0","0","0","0.0","38","38","76"
"경상북도교육청","경상북도교육청","경상북도 영양군","S150000908","영양고등학교","04","공립","N","","31","0","31","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","31","0","31"
"경상북도교육청","경상북도교육청","경상북도 영양군","S150000909","영양여자고등학교","04","사립","N","","0","35","35","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","0","35","35"
"경상북도교육청","경상북도교육청","경상북도 포항시 남구","S150000910","영일고등학교","04","사립","N","","80","100","180","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","80","100","180"
"경상북도교육청","경상북도교육청","경상북도 영주시","S150000912","한국철도고등학교","04","사립","N","","66","14","80","90.9","0","0","0","0.0","0","0","0","0.0","5","3","8","9.1","71","17","88"
"경상북도교육청","경상북도교육청","경상북도 영주시","S150000914","경북항공고등학교","04","사립","N","","104","0","104","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","104","0","104"
"경상북도교육청","경상북도교육청","경상북도 영주시","S150000916","영주여자고등학교","04","공립","N","","0","124","124","99.2","0","0","0","0.0","0","1","1","0.8","0","0","0","0.0","0","125","125"
"경상북도교육청","경상북도교육청","경상북도 영주시","S150000917","영주제일고등학교","04","공립","N","","115","0","115","99.1","1","0","1","0.9","0","0","0","0.0","0","0","0","0.0","116","0","116"
"경상북도교육청","경상북도교육청","경상북도 영천시","S150000919","영천고등학교","04","공립","N","","85","0","85","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","85","0","85"
"경상북도교육청","경상북도교육청","경상북도 영천시","S150000920","영천전자고등학교","04","사립","N","","55","2","57","96.6","1","1","2","3.4","0","0","0","0.0","0","0","0","0.0","56","3","59"
"경상북도교육청","경상북도교육청","경상북도 영천시","S150000921","영천여자고등학교","04","공립","N","","0","97","97","98.0","0","0","0","0.0","0","2","2","2.0","0","0","0","0.0","0","99","99"
"경상북도교육청","경상북도교육청","경상북도 영천시","S150000923","영천성남여자고등학교","04","사립","N","","0","89","89","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","0","89","89"
"경상북도교육청","경상북도교육청","경상북도 영덕군","S150000924","영해고등학교","04","공립","N","","19","20","39","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","19","20","39"
"경상북도교육청","경상북도교육청","경상북도 예천군","S150000929","예천여자고등학교","04","공립","N","","0","93","93","97.9","0","1","1","1.1","0","1","1","1.1","0","0","0","0.0","0","95","95"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000931","오상고등학교","04","사립","N","","134","128","262","99.6","0","1","1","0.4","0","0","0","0.0","0","0","0","0.0","134","129","263"
"경상북도교육청","경상북도교육청","경상북도 포항시 남구","S150000934","오천고등학교","04","사립","N","","97","112","209","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","97","112","209"
"경상북도교육청","경상북도교육청","경상북도 상주시","S150000936","경북자연과학고등학교","04","사립","N","","47","45","92","97.9","0","2","2","2.1","0","0","0","0.0","0","0","0","0.0","47","47","94"
"경상북도교육청","경상북도교육청","경상북도 울릉군","S150000937","울릉고등학교","04","공립","N","","9","15","24","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","9","15","24"
"경상북도교육청","경상북도교육청","경상북도 울진군","S150000938","울진고등학교","04","공립","N","","79","60","139","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","79","60","139"
"경상북도교육청","경상북도교육청","경상북도 포항시 북구","S150000941","유성여자고등학교","04","사립","N","","0","188","188","99.5","0","1","1","0.5","0","0","0","0.0","0","0","0","0.0","0","189","189"
"경상북도교육청","경상북도교육청","경상북도 의성군","S150000944","의성고등학교","04","사립","N","","54","0","54","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","54","0","54"
"경상북도교육청","경상북도교육청","경상북도 의성군","S150000945","의성유니텍고등학교","04","공립","N","","27","13","40","85.1","0","0","0","0.0","0","0","0","0.0","4","3","7","14.9","31","16","47"
"경상북도교육청","경상북도교육청","경상북도 의성군","S150000946","의성여자고등학교","04","공립","N","","0","42","42","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","0","42","42"
"경상북도교육청","경상북도교육청","경상북도 청도군","S150000949","이서고등학교","04","사립","N","","47","89","136","97.8","0","2","2","1.4","1","0","1","0.7","0","0","0","0.0","48","91","139"
